base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
internal_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster_bo...       320    14    14    14
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       319    12    10    16
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              317     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       317     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...       306     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__RestIdAllo...       301     2     2     2
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.own...       294     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       294     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.network.types.NetworkS...       293     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__network__types__Net...       293    14    14    13
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       292     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       292    20    10    11
internal_vstd!seq.Seq.empty.?_pre_post_definition                                    290     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...       289     0     1     1
prelude_sub                                                                          283     2     2     2
